grado,tiempo_estandar_ns,tiempo_horner_ns
10,543,67
20,980,102
30,1525,142
40,1745,171
50,2163,205
60,2492,252
70,2988,273
80,3331,314
90,3909,345
100,4707,377
110,5310,412
120,5365,449
130,6721,559
140,6967,522
150,7677,563
160,9648,662
170,11117,666
180,8165,654
190,10029,666
200,12230,1083
210,11242,756
220,9880,800
230,11816,824
240,14022,859
250,11610,928
260,12411,927
270,14940,1458
280,12897,1096
290,16697,1031
300,21539,1306
310,15208,1044
320,16877,1136
330,15849,1055
340,18504,1416
350,16934,1123
360,17219,1150
370,19411,1186
380,18820,1454
390,23187,1279
400,21826,1346
410,20899,1372
420,22864,1336
430,23327,1423
440,22351,1398
450,23673,1429
460,24216,1461
470,26699,1561
480,26733,1523
490,27233,1593
500,27655,1608
510,28015,1617
520,28358,1647
530,30128,1701
540,30694,1856
550,31667,2388
560,35474,1775
570,33805,1798
580,35239,1848
590,39716,2311
600,39939,1976
610,43427,2173
620,41965,2165
630,42172,2218
640,44032,2238
650,45554,2207
660,47550,2318
670,47490,2455
680,49571,2244
690,48950,2445
700,49110,2367
710,47768,2239
720,47864,2306
730,47818,2296
740,49776,2346
750,52877,2357
760,50743,2422
770,51445,2708
780,53841,2450
790,54200,2486
800,55323,2519
810,55364,2865
820,59523,2698
830,57735,2609
840,59779,2744
850,60660,2700
860,62756,2863
870,67329,3043
880,69800,3067
890,72160,3088
900,64963,2880
910,68819,2905
920,69732,2928
930,68818,3571
940,73971,3163
950,73823,3179
960,75383,3346
970,73523,3371
980,74364,3291
990,77630,3434
1000,79467,3304
